job_id,user,node_num,gpu_num,cpu_num,mem_per_pod_GB,shared_mem_per_pod,type,state,submit_time,start_time,end_time,fail_time,stop_time,duration,queue,gpu_time
dlc14y7xms3wbvme,u212a,1,0,120,1000,20.0,CPU,COMPLETED,2023-05-26 14:24:20+00:00,2023-05-26 14:24:27+00:00,2023-05-26 14:24:37+00:00,,,17,7.0,
dlc1qlt4asov812a,u212a,1,2,120,1000,20.0,Other,COMPLETED,2023-05-26 15:16:49+00:00,2023-05-26 15:16:59+00:00,2023-05-26 15:22:26+00:00,,,337,10.0,674.0
dlc3feh38j27jomw,ud094,2,16,240,1000,100.0,Other,CANCELLED,2023-05-27 04:18:20+00:00,2023-05-27 04:18:30+00:00,2023-05-27 07:38:05+00:00,,2023-05-27 07:38:05+00:00,11985,10.0,191760.0
dlcoa5m2svnh5og0,u212a,1,0,120,1000,20.0,CPU,COMPLETED,2023-05-27 07:14:32+00:00,2023-05-27 07:14:34+00:00,2023-05-27 07:15:23+00:00,,,51,2.0,
dlcww01s4uakwykb,ud094,2,16,240,1000,100.0,Other,COMPLETED,2023-05-27 07:36:23+00:00,2023-05-27 07:36:34+00:00,2023-05-27 07:42:25+00:00,,,362,11.0,5792.0
dlceuxgqsryv984t,ud094,8,64,960,1000,100.0,Other,CANCELLED,2023-05-27 07:56:38+00:00,2023-05-27 07:56:49+00:00,2023-05-27 07:57:50+00:00,,2023-05-27 07:57:50+00:00,72,11.0,4608.0
dlc18ki41weptg7k,ud094,32,256,3840,1000,100.0,Pretrain,CANCELLED,2023-05-27 09:23:45+00:00,2023-05-27 09:23:53+00:00,2023-05-29 14:21:40+00:00,,2023-05-29 14:21:40+00:00,190675,8.0,48812800.0
dlcxr25twk97udjw,ud094,8,64,960,1000,100.0,Other,COMPLETED,2023-05-27 09:35:54+00:00,2023-05-27 09:36:04+00:00,2023-05-27 09:41:25+00:00,,,331,10.0,21184.0
dlcgu0rgkqfkmxyl,ud094,4,32,480,1000,100.0,Other,CANCELLED,2023-05-27 10:04:45+00:00,2023-05-27 10:04:53+00:00,2023-05-28 07:06:30+00:00,,2023-05-28 07:06:30+00:00,75705,8.0,2422560.0
dlcd9rmysvouxez7,ud094,4,32,480,1000,100.0,Other,CANCELLED,2023-05-28 07:11:44+00:00,2023-05-28 07:11:54+00:00,2023-05-28 07:13:30+00:00,,2023-05-28 07:13:30+00:00,106,10.0,3392.0
dlc1c8ch6sxe4zmu,ud094,4,32,480,1000,100.0,Other,CANCELLED,2023-05-28 07:13:50+00:00,2023-05-28 07:14:00+00:00,2023-05-28 07:20:55+00:00,,2023-05-28 07:20:55+00:00,425,10.0,13600.0
dlcqvbyf8ngbilyu,ud094,4,32,480,1000,100.0,Other,CANCELLED,2023-05-28 07:25:21+00:00,2023-05-28 07:25:32+00:00,2023-05-29 11:36:37+00:00,,2023-05-29 11:36:37+00:00,101476,11.0,3247232.0
dlc1bgvll0jo8fey,u212a,1,0,120,1000,20.0,CPU,COMPLETED,2023-05-28 11:46:52+00:00,2023-05-28 11:46:57+00:00,2023-05-28 11:47:05+00:00,,,13,5.0,
dlcfua3nooo9k2h2,u212a,1,0,120,1000,20.0,CPU,COMPLETED,2023-05-28 11:57:46+00:00,2023-05-28 11:57:48+00:00,2023-05-28 11:58:13+00:00,,,27,2.0,
dlc1fcycck47ykxv,u212a,1,2,120,1000,20.0,Other,COMPLETED,2023-05-28 12:12:42+00:00,2023-05-28 12:12:53+00:00,2023-05-28 12:18:56+00:00,,,374,11.0,748.0
dlc6ovxfo47wqq3l,u212a,1,2,120,1000,20.0,Other,COMPLETED,2023-05-28 12:22:49+00:00,2023-05-28 12:22:59+00:00,2023-05-28 12:23:07+00:00,,,18,10.0,36.0
dlcgehptwwg6vbyy,u212a,1,2,120,1000,20.0,Other,COMPLETED,2023-05-28 12:23:24+00:00,2023-05-28 12:23:34+00:00,2023-05-28 12:23:42+00:00,,,18,10.0,36.0
dlco66cjojmdvevu,u212a,1,2,120,1000,20.0,Other,COMPLETED,2023-05-28 12:23:52+00:00,2023-05-28 12:24:00+00:00,2023-05-28 12:24:07+00:00,,,15,8.0,30.0
dlc82vax0br7aavu,u212a,1,2,120,1000,20.0,Other,COMPLETED,2023-05-28 12:27:10+00:00,2023-05-28 12:27:20+00:00,2023-05-28 12:27:24+00:00,,,14,10.0,28.0
dlc1hb14asiv271k,u212a,1,2,120,1000,20.0,Other,COMPLETED,2023-05-28 12:29:53+00:00,2023-05-28 12:30:02+00:00,2023-05-28 12:30:09+00:00,,,16,9.0,32.0
dlc78xxc46zedgt0,u212a,1,2,120,1000,20.0,Other,COMPLETED,2023-05-28 12:31:23+00:00,2023-05-28 12:31:32+00:00,2023-05-28 12:37:22+00:00,,,359,9.0,718.0
dlc47579g77g0c66,u212a,1,2,120,1000,20.0,Other,COMPLETED,2023-05-28 12:39:44+00:00,2023-05-28 12:39:53+00:00,2023-05-28 12:45:58+00:00,,,374,9.0,748.0
